support,itemsets
0.11997114477553965,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'})
0.10737472948227068,frozenset({'JUMBO BAG RED RETROSPOT'})
0.09350202541479385,frozenset({'REGENCY CAKESTAND 3 TIER'})
0.08839687031796238,frozenset({'PARTY BUNTING'})
0.07724321624771101,frozenset({'LUNCH BAG RED RETROSPOT'})
0.07607790910604295,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'})
0.068864102990955,frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '})
0.06764330503301703,frozenset({'NATURAL SLATE HEART CHALKBOARD '})
0.06747683258420731,frozenset({'LUNCH BAG  BLACK SKULL.'})
0.06459131013817214,frozenset({'HEART OF WICKER SMALL'})
0.06431385605682259,frozenset({'JUMBO BAG PINK POLKADOT'})
0.062871094833805,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'})
0.06270462238499529,frozenset({'JUMBO STORAGE BAG SUKI'})
0.06264913156872537,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'})
0.062427168303645746,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})"
0.05970811830642029,frozenset({'WOODEN PICTURE FRAME WHITE FINISH'})
0.05909771932745131,frozenset({'LUNCH BAG CARS BLUE'})
0.05771044892070362,frozenset({'SPOTTY BUNTING'})
0.05759946728816381,frozenset({'LUNCH BAG SPACEBOY DESIGN '})
0.056989068309194826,frozenset({'RECIPE BOX PANTRY YELLOW DESIGN'})
0.05665612341157539,frozenset({'LUNCH BAG SUKI DESIGN '})
0.05593474280006659,frozenset({'JAM MAKING SET PRINTED'})
0.05582376116752678,frozenset({'LUNCH BAG PINK POLKADOT'})
0.055601797902447146,frozenset({'VICTORIAN GLASS HANGING T-LIGHT'})
0.05549081626990733,frozenset({'SET OF 4 PANTRY JELLY MOULDS'})
0.05543532545363742,frozenset({'JAM MAKING SET WITH JARS'})
0.05304922035403141,frozenset({'ROSES REGENCY TEACUP AND SAUCER '})
0.0522723489262527,frozenset({'WOODEN FRAME ANTIQUE WHITE '})
0.05171744076355363,frozenset({'GREEN REGENCY TEACUP AND SAUCER'})
0.05160645913101382,frozenset({'ALARM CLOCK BAKELIKE RED '})
0.05077409688696521,frozenset({'LUNCH BAG APPLE DESIGN'})
0.0507186060706953,frozenset({'HEART OF WICKER LARGE'})
0.05049664280561567,frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'})
0.050108207091726316,frozenset({'RED RETROSPOT CHARLOTTE BAG'})
0.04983075301037678,frozenset({'GARDENERS KNEELING PAD KEEP CALM '})
0.049109372398867986,frozenset({'JUMBO BAG APPLES'})
0.04860995505243882,frozenset({'ALARM CLOCK BAKELIKE GREEN'})
0.048554464236168916,frozenset({'VINTAGE SNAP CARDS'})
0.048277010154819375,frozenset({'LUNCH BAG WOODLAND'})
0.04777759280839021,frozenset({'REX CASH+CARRY JUMBO SHOPPER'})
0.04744464791077077,frozenset({'6 RIBBONS RUSTIC CHARM'})
0.047056212196881414,frozenset({'JUMBO BAG ALPHABET'})
0.04661228566672216,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS '})
0.0462238499528328,frozenset({'RABBIT NIGHT LIGHT'})
0.04550246934132401,frozenset({'CHOCOLATE HOT WATER BOTTLE'})
0.045280506076244384,frozenset({'SET/5 RED RETROSPOT LID GLASS BOWLS'})
0.045280506076244384,frozenset({'JUMBO BAG VINTAGE LEAF'})
0.04522501525997447,frozenset({'PLEASE ONE PERSON METAL SIGN'})
0.04522501525997447,frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'})
0.04511403362743466,frozenset({'RETROSPOT TEA SET CERAMIC 11 PC '})
0.04461461628100549,frozenset({'CHARLOTTE BAG SUKI DESIGN'})
0.04439265301592586,frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'})
0.04378225403695688,frozenset({'JUMBO BAG STRAWBERRY'})
0.04378225403695688,frozenset({'BAKING SET 9 PIECE RETROSPOT '})
0.04356029077187725,"frozenset({'JUMBO BAG PINK POLKADOT', 'JUMBO BAG RED RETROSPOT'})"
0.04333832750679763,frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'})
0.04272792852782865,frozenset({'SET OF 6 SPICE TINS PANTRY DESIGN'})
0.041895566283780036,frozenset({'HOT WATER BOTTLE KEEP CALM'})
0.04178458465124022,frozenset({'60 TEATIME FAIRY CAKE CASES'})
0.041618112202430495,frozenset({'GARDENERS KNEELING PAD CUP OF TEA '})
0.041507130569890686,frozenset({'HOME BUILDING BLOCK WORD'})
0.041451639753620775,frozenset({'POPCORN HOLDER'})
0.04078574995838189,frozenset({'JUMBO BAG WOODLAND ANIMALS'})
0.04073025914211198,frozenset({'SCOTTIE DOG HOT WATER BOTTLE'})
0.04056378669330226,frozenset({'GIN + TONIC DIET METAL SIGN'})
0.04028633261195272,frozenset({'SET OF 3 REGENCY CAKE TINS'})
0.039398479551634204,frozenset({'RECYCLING BAG RETROSPOT '})
0.03928749791909439,frozenset({'PAPER BUNTING RETROSPOT'})
0.03917651628655457,frozenset({'DOTCOM POSTAGE'})
0.03906553465401476,frozenset({'RED HANGING HEART T-LIGHT HOLDER'})
0.03895455302147494,frozenset({'PINK REGENCY TEACUP AND SAUCER'})
0.03889906220520504,frozenset({'SPACEBOY LUNCH BOX '})
0.038843571388935134,"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER'})"
0.03878808057266522,frozenset({'DOLLY GIRL LUNCH BOX'})
0.03873258975639532,"frozenset({'JUMBO STORAGE BAG SUKI', 'JUMBO BAG RED RETROSPOT'})"
0.038621608123855504,frozenset({'DOORMAT KEEP CALM AND COME IN'})
0.03828866322623606,frozenset({'HANGING HEART JAR T-LIGHT HOLDER'})
0.038233172409966154,frozenset({'COOK WITH WINE METAL SIGN '})
0.03817768159369624,frozenset({'LUNCH BAG ALPHABET DESIGN'})
0.03812219077742634,frozenset({'CLOTHES PEGS RETROSPOT PACK 24 '})
0.03795571832861661,frozenset({'JUMBO STORAGE BAG SKULLS'})
0.03778924587980689,frozenset({'WOODLAND CHARLOTTE BAG'})
0.03751179179845736,frozenset({'ANTIQUE SILVER T-LIGHT GLASS'})
0.03734531934964763,frozenset({'CHARLOTTE BAG PINK POLKADOT'})
0.03734531934964763,frozenset({'STRAWBERRY CHARLOTTE BAG'})
0.03728982853337773,"frozenset({""JUMBO BAG 50'S CHRISTMAS ""})"
0.0370678652682981,frozenset({'HAND OVER THE CHOCOLATE   SIGN '})
0.03656844792186893,frozenset({'RED TOADSTOOL LED NIGHT LIGHT'})
0.03645746628932912,"frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY', 'JUMBO BAG RED RETROSPOT'})"
0.036401975473059206,frozenset({'ALARM CLOCK BAKELIKE PINK'})
0.0363464846567893,frozenset({'JUMBO BAG VINTAGE DOILY '})
0.03629099384051939,frozenset({'WOOD BLACK BOARD ANT WHITE FINISH'})
0.03606903057543977,frozenset({'CHILLI LIGHTS'})
0.03606903057543977,frozenset({'LUNCH BOX I LOVE LONDON'})
0.0355696132290106,frozenset({'STRAWBERRY CERAMIC TRINKET BOX'})
0.035236668331391156,frozenset({'JUMBO BAG SCANDINAVIAN BLUE PAISLEY'})
0.035236668331391156,frozenset({'HOT WATER BOTTLE I AM SO POORLY'})
0.035181177515121245,frozenset({'SET OF 3 BUTTERFLY COOKIE CUTTERS'})
0.03490372343377171,frozenset({'HAND WARMER OWL DESIGN'})
0.034792741801231895,frozenset({'SET OF 3 HEART COOKIE CUTTERS'})
0.034570778536152265,frozenset({'DOORMAT RED RETROSPOT'})
0.034570778536152265,frozenset({'LUNCH BAG VINTAGE LEAF DESIGN'})
0.03451528771988236,frozenset({'JUMBO BAG SPACEBOY DESIGN'})
0.03429332445480273,frozenset({'HOT WATER BOTTLE TEA AND SYMPATHY'})
0.034237833638532826,frozenset({'JUMBO BAG OWLS'})
0.034237833638532826,frozenset({'BATHROOM METAL SIGN'})
0.034015870373453196,frozenset({'SMALL WHITE HEART OF WICKER'})
0.03368292547583375,frozenset({'LOVE BUILDING BLOCK WORD'})
0.03368292547583375,"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG RED RETROSPOT'})"
0.03346096221075412,frozenset({'PACK OF 72 SKULL CAKE CASES'})
0.033405471394484215,frozenset({'IVORY KITCHEN SCALES'})
0.033349980578214304,frozenset({'LUNCH BAG DOLLY GIRL DESIGN'})
0.033183508129404585,frozenset({'HOT BATHS METAL SIGN'})
0.03307252649686477,frozenset({'COLOUR GLASS T-LIGHT HOLDER HANGING'})
0.03301703568059486,frozenset({'GINGERBREAD MAN COOKIE CUTTER'})
0.03285056323178514,frozenset({'PINK CREAM FELT CRAFT TRINKET BOX '})
0.03262859996670551,frozenset({'HOMEMADE JAM SCENTED CANDLES'})
0.032351145885355974,frozenset({'PACK OF 20 NAPKINS PANTRY DESIGN'})
0.03224016425281616,frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'})
0.032184673436546254,frozenset({'PAPER CHAIN KIT RETROSPOT'})
0.032184673436546254,frozenset({'DOORMAT UNION FLAG'})
0.03207369180400644,frozenset({'HANGING HEART ZINC T-LIGHT HOLDER'})
0.031962710171466624,"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})"
0.031740746906386993,frozenset({'GUMBALL COAT RACK'})
0.031740746906386993,frozenset({'TRADITIONAL KNITTING NANCY'})
0.03168525609011708,frozenset({'SET OF 20 VINTAGE CHRISTMAS NAPKINS'})
0.03162976527384718,"frozenset({'JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO BAG RED RETROSPOT'})"
0.03151878364130736,frozenset({'RETROSPOT HEART HOT WATER BOTTLE'})
0.03124132955995783,"frozenset({'ALARM CLOCK BAKELIKE RED ', 'ALARM CLOCK BAKELIKE GREEN'})"
0.03124132955995783,frozenset({'DOORMAT HEARTS'})
0.03118583874368792,frozenset({'DOORMAT NEW ENGLAND'})
0.030797403029798567,frozenset({'72 SWEETHEART FAIRY CAKE CASES'})
0.03074191221352866,"frozenset({'LUNCH BAG PINK POLKADOT', 'LUNCH BAG RED RETROSPOT'})"
0.030686421397258752,frozenset({'RED  HARMONICA IN BOX '})
0.030630930580988848,frozenset({'LARGE WHITE HEART OF WICKER'})
0.03057543976471894,frozenset({'VINTAGE HEADS AND TAILS CARD GAME '})
0.030519948948449033,frozenset({'BOX OF 24 COCKTAIL PARASOLS'})
0.030464458132179125,frozenset({'SMALL POPCORN HOLDER'})
0.030408967315909217,frozenset({'JUMBO BAG PEARS'})
0.030242494867099495,frozenset({'LUNCH BAG VINTAGE DOILY '})
0.030242494867099495,frozenset({'SET OF 60 PANTRY DESIGN CAKE CASES '})
0.030242494867099495,"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})"
0.030187004050829587,frozenset({'PACK OF 60 DINOSAUR CAKE CASES'})
0.03013151323455968,frozenset({'WOODEN BOX OF DOMINOES'})
0.030020531602019864,"frozenset({'GARDENERS KNEELING PAD CUP OF TEA ', 'GARDENERS KNEELING PAD KEEP CALM '})"
0.029854059153210145,frozenset({'HAND WARMER BIRD DESIGN'})
0.029854059153210145,"frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS', ""PAPER CHAIN KIT 50'S CHRISTMAS ""})"
0.029798568336940237,frozenset({'LOVEBIRD HANGING DECORATION WHITE '})
